,EFINVA,EFSIZE,EFMJIE
1837,0,2,1
1838,0,2,2
1839,0,3,2
1840,0,3,1
1842,0,1,1
1843,100000,2,2
1844,100000,2,1
1845,400,2,1
1846,400,2,2
1847,0,1,1
1848,50,5,2
1849,50,5,1
1850,50,5,2
1851,50,5,2
1853,0,5,1
1858,0,1,1
1859,16325,3,1
1860,16325,3,2
1861,16325,3,2
1862,0,1,1
1863,0,3,2
1864,0,3,1
1866,0,1,1
1867,0,1,1
1868,0,3,2
1869,0,3,1
1871,0,1,1
1872,0,3,1
1875,6900,2,2
1876,6900,2,1
1877,0,4,1
1878,0,4,2
1879,0,4,2
1881,0,1,1
1882,0,1,1
1883,0,2,1
1884,0,2,2
1885,0,5,1
1886,0,5,2
1887,0,5,2
1890,275,5,1
1891,275,5,2
1895,0,1,1
1896,13000,2,1
1897,13000,2,2
1898,825,2,1
1899,825,2,2
1900,0,1,1
1901,0,2,1
1902,0,2,2
1903,8500,2,2
1904,8500,2,1
1905,0,5,2
1906,0,5,1
1907,0,5,2
1910,0,2,2
1911,0,2,1
1912,1100,1,1
1913,75,2,2
1914,75,2,1
1915,0,1,1
1916,100,2,2
1917,100,2,1
1918,1550,4,1
1919,1550,4,2
1920,1550,4,2
1922,0,2,2
1923,0,2,1
1924,0,1,1
1925,56250,4,2
1926,56250,4,1
1927,56250,4,2
1928,56250,4,2
1929,50,3,1
1930,50,3,2
1932,90000,5,2
1933,90000,5,1
1937,0,3,1
1938,0,3,2
1939,0,3,2
1940,0,5,1
1941,0,5,2
1945,125,1,1
1946,50,4,1
1947,50,4,2
1948,50,4,2
1950,150,1,1
1951,0,1,1
1952,350,2,1
1953,350,2,2
1954,0,3,2
1955,0,3,1
1957,52000,5,2
1958,52000,5,1
1959,52000,5,2
1962,275,7,2
1963,275,7,2
1964,275,7,1
1965,275,7,2
1969,62000,6,2
1970,62000,6,1
1971,62000,6,2
1972,62000,6,2
1975,0,2,1
1976,0,2,2
1977,25,5,1
1978,25,5,2
1979,25,5,2
1980,25,5,2
1982,200000,2,1
1983,200000,2,2
1984,0,3,1
1987,0,3,2
1988,0,3,1
1990,0,4,1
1991,0,4,2
1994,0,2,2
1995,0,2,1
