,EFINVA
77868,0
73903,0
3793,25
4225,0
46539,6750
83090,0
41075,0
11291,175
60866,0
24517,0
21087,0
50525,35000
44581,0
91047,6500
29862,0
32428,0
34184,0
32821,50
23089,0
9294,28000
56447,0
15766,-1300
50855,43025
53949,0
46342,0
64663,50
47168,175
6641,0
36193,5125
6402,0
57646,1500
17389,25
85522,775
92105,42000
75234,0
1017,0
29549,115500
57201,1100
12308,2000
14169,0
77179,50
63986,0
20691,0
50566,0
64719,58000
67158,950
39611,11500
63853,0
80659,1775
15934,1725
9295,0
82732,0
15614,0
17,0
59011,0
37515,0
24359,0
75805,0
13742,0
39918,0
69550,75
66767,13500
66903,0
58240,0
89675,0
74197,3250
12272,0
53831,0
66839,0
75369,0
47171,0
20577,50
82596,0
4841,5900
3936,0
39269,350
35833,0
45126,1000
19201,575
87870,0
1465,0
10315,0
60824,0
28846,925
89008,0
33533,0
67252,0
39943,0
20666,-3100
37430,0
22411,2850
56546,0
58095,0
75706,3800
83593,725
79602,0
11798,0
35216,0
83161,25
77596,50
82588,0
88527,0
75768,875
10066,25
30455,0
51421,0
88511,0
23965,150
42295,0
88154,0
86187,250
41853,0
16961,50
48567,125
24935,225
74759,0
84716,0
51279,0
32174,5400
80558,250
57158,0
31311,4325
45182,0
72785,0
2345,1075
52112,0
48619,0
61378,13000
33953,0
7479,0
53463,0
27706,0
65102,0
23238,350
40717,0
47918,1450
3533,125
17104,11500
44103,25
34905,1675
79582,0
28071,0
34827,0
37842,0
46392,0
9003,300
21934,50
5572,125
80153,0
36395,0
14194,0
92021,0
54348,0
53586,750
54967,0
5397,175
7329,0
26891,0
33213,0
68169,5100
47682,67825
54592,525
76765,0
68736,0
66053,25
31529,14500
63808,1650
37669,0
14667,1875
39305,91400
54881,0
51565,0
12211,0
20727,8900
63646,0
65746,100
43574,19500
44176,0
61915,2000
37211,0
18363,0
76272,0
4551,550
12611,0
45251,0
76114,450
27020,0
62636,1550
53944,0
28450,65000
403,17200
46491,0
26424,0
62205,0
7376,0
72866,0
91329,25
17335,325
12285,50
69775,375
48363,0
90153,1800
12550,0
56833,0
74284,6500
27352,200
73293,0
79708,100
89662,175
84867,0
29030,250
90360,525
48494,0
65853,0
31588,800
52494,75
66276,0
60834,0
87027,0
31301,0
27405,125
67261,27275
16939,50
21656,300
37657,0
15995,0
31141,100
15074,0
40983,50
9359,0
69164,135000
32721,50
91595,0
80685,2500
75672,0
49597,0
68341,0
21197,0
35495,0
88521,25
33855,0
74972,125
67510,3750
76330,0
35129,0
54486,25
7701,0
83422,0
52592,0
46350,293000
23814,25
12667,25075
49725,7400
37091,10000
79891,0
24487,100
11985,700
82223,525
42383,0
5686,0
1390,0
50523,0
5101,0
75899,0
62717,0
69319,150
12271,0
27178,325
56866,100
15616,42700
87847,0
33528,6250
88080,4025
36204,0
78392,650
14046,0
47750,0
7838,0
22061,0
53924,75
67276,25
51863,0
77117,900
22990,175
51305,75
12872,275
63639,0
31690,575
45178,50
44574,0
18289,5750
89396,75
86699,7300
55798,315000
32561,0
62980,0
22417,0
26854,0
84875,0
32178,0
23152,925
78241,0
16596,0
72803,50
84244,0
33359,0
72791,37300
52278,0
59016,0
30407,0
78850,0
30419,0
55760,175
37237,50
88069,0
68869,32050
21519,0
88548,0
57632,8250
81002,0
19910,1200
931,9550
57071,50
70273,0
29812,0
84852,10500
25201,0
42632,0
56518,12500
36968,0
8606,8300
50512,0
65267,625
11615,0
24805,0
34477,225
63975,0
76755,100000
54546,0
50237,0
26535,0
63085,0
7019,1300
36413,37000
17079,0
84793,3500
59503,0
75831,0
445,0
19840,375
90004,0
34778,-2850
68862,0
51998,75
41142,8500
23931,4400
54931,0
31497,0
82292,4750
70997,0
17773,0
80317,0
81296,100
84912,0
38216,0
3209,25
15742,0
49161,4400
90630,0
53691,0
57209,0
70196,0
58702,650
820,0
40877,0
33940,13500
81635,75
74732,225
46804,3800
77273,650
40381,2075
52502,25
58825,46000
82636,0
81540,8750
47021,0
14189,6500
11455,120450
44852,0
55235,0
77099,650
26476,0
49722,0
44540,50
39152,0
13167,175
23913,400
68934,300000
55012,0
38456,225
27949,0
24829,0
49177,0
19779,0
62387,0
48504,0
72536,50
17360,0
82586,0
17170,1900
77171,0
5406,0
23297,0
